,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
3648,-0.005759,-0.013726,-0.018082,-0.019574,-0.020021,-0.019693,-0.001492,-0.006057,-0.006684,-0.007042,-0.007191,-0.005222,-0.0037,-0.003581,-0.006266,-0.009638,-0.011607,-0.013845,0.000597,0.001313,0.003819,0.004744,0.005281,0.005431,-0.005371,-0.00916,-0.013397,-0.01468,-0.01292,-0.012144,-0.006296,-0.013487,-0.015337,-0.0202,-0.020409,-0.02023,-0.003968,-0.005252,-0.008265,-0.009101,-0.009429,-0.010921,0.002178,0.002447,0.005789,0.006027,0.006296,0.006684,1,0,0,0
3649,-0.007961,-0.012314,-0.013805,-0.014252,-0.013924,-0.012791,-0.004562,-0.005188,-0.005546,-0.005695,-0.003727,-0.003101,0.000119,-0.002564,-0.005934,-0.007901,-0.010138,-0.013686,0.000716,0.00322,0.004145,0.004681,0.00483,0.00486,-0.003787,-0.008021,-0.009303,-0.007544,-0.006768,-0.007216,-0.007186,-0.009034,-0.013895,-0.014103,-0.013924,-0.013417,-0.001282,-0.004294,-0.005128,-0.005456,-0.006947,-0.009273,0.000268,0.003608,0.003846,0.004115,0.004502,0.003548,1,0,0,0
3650,-0.004347,-0.005835,-0.006282,-0.005954,-0.004823,-0.003453,-0.000625,-0.000982,-0.001131,0.000834,0.001459,0.004555,-0.002679,-0.006044,-0.008008,-0.010241,-0.013784,-0.014141,0.002501,0.003424,0.00396,0.004108,0.004138,0.004763,-0.004228,-0.005508,-0.003751,-0.002977,-0.003424,-0.005121,-0.001846,-0.006699,-0.006907,-0.006728,-0.006222,-0.006996,-0.003007,-0.00384,-0.004168,-0.005657,-0.007979,-0.008931,0.003334,0.003573,0.00384,0.004228,0.003275,0.003156,1,0,0,0
3651,-0.001485,-0.001931,-0.001604,-0.000475,0.000891,-0.000238,-0.000356,-0.000505,0.001455,0.002079,0.005168,0.007158,-0.003356,-0.005316,-0.007544,-0.011078,-0.011435,-0.010187,0.000921,0.001455,0.001604,0.001634,0.002257,0.002198,-0.001277,0.000475,0.001247,0.000802,-0.000891,-0.005881,-0.004841,-0.005049,-0.004871,-0.004366,-0.005138,-0.008672,-0.000832,-0.001158,-0.002643,-0.00496,-0.00591,-0.005584,0.000238,0.000505,0.000891,-5.9e-05,-0.000178,0.000208,1,0,0,0
3652,-0.000446,-0.000119,0.00101,0.002377,0.001248,0.001931,-0.000149,0.001812,0.002436,0.005526,0.007516,0.010576,-0.001961,-0.004189,-0.007724,-0.008081,-0.006833,-0.005377,0.000535,0.000683,0.000713,0.001337,0.001277,0.005704,0.001753,0.002525,0.00208,0.000386,-0.004605,-0.006269,-0.000208,-3e-05,0.000475,-0.000297,-0.003832,-0.002674,-0.000327,-0.001812,-0.00413,-0.00508,-0.004753,-0.00407,0.000267,0.000654,-0.000297,-0.000416,-3e-05,0.003684,1,0,0,0
3653,0.000326,0.001454,0.002818,0.001691,0.002373,0.001157,0.001958,0.002581,0.005666,0.007653,0.010708,0.012132,-0.002225,-0.005755,-0.006111,-0.004865,-0.003411,-0.002788,0.000148,0.000178,0.000801,0.000742,0.005161,0.007831,0.000771,0.000326,-0.001365,-0.006348,-0.008009,-0.009552,0.000178,0.000682,-8.9e-05,-0.003619,-0.002462,-0.001602,-0.001483,-0.003797,-0.004746,-0.00442,-0.003738,-0.004687,0.000386,-0.000564,-0.000682,-0.000297,0.003411,0.00178,1,0,0,0
3654,0.001124,0.002485,0.001361,0.002041,0.000828,0.001272,0.000621,0.003698,0.00568,0.008727,0.010147,0.010117,-0.00352,-0.003875,-0.002633,-0.001183,-0.000562,0.002544,3e-05,0.000651,0.000592,0.004999,0.007662,0.007839,-0.000444,-0.00213,-0.0071,-0.008756,-0.010295,-0.010798,0.000503,-0.000266,-0.003787,-0.002633,-0.001775,-0.001479,-0.002307,-0.003254,-0.002929,-0.002248,-0.003195,-0.00494,-0.000947,-0.001065,-0.00068,0.003017,0.00139,0.001805,1,0,0,0
3655,0.00136,0.000237,0.000917,-0.000296,0.000148,0.000917,0.003075,0.005056,0.008101,0.00952,0.00949,0.010939,-0.000355,0.000887,0.002336,0.002957,0.006061,0.009786,0.000621,0.000562,0.004967,0.007628,0.007805,0.007598,-0.001685,-0.006652,-0.008308,-0.009845,-0.010348,-0.009609,-0.000769,-0.004287,-0.003134,-0.002277,-0.001981,0.003784,-0.000946,-0.000621,5.9e-05,-0.000887,-0.002631,-0.005115,-0.000118,0.000266,0.003962,0.002336,0.00275,0.002572,1,0,0,0
3656,-0.001123,-0.000443,-0.001655,-0.001212,-0.000443,0.000325,0.00198,0.005024,0.006442,0.006413,0.007861,0.007949,0.001241,0.002689,0.00331,0.006413,0.010136,0.018499,-5.9e-05,0.004344,0.007004,0.007181,0.006974,-0.001921,-0.004965,-0.00662,-0.008156,-0.008659,-0.00792,-0.007654,-0.003517,-0.002364,-0.001507,-0.001212,0.004551,0.005437,0.000325,0.001005,5.9e-05,-0.001684,-0.004167,-0.008599,0.000384,0.004078,0.002453,0.002866,0.002689,-0.015308,1,0,0,0
3657,0.000683,-0.000534,-8.9e-05,0.000683,0.001454,0.00276,0.003056,0.004481,0.004451,0.005905,0.005994,0.005935,0.001454,0.002077,0.005193,0.008932,0.01733,0.025104,0.004421,0.007092,0.00727,0.007062,-0.001869,-0.003472,-0.001662,-0.003205,-0.003709,-0.002967,-0.0027,-0.001335,0.001157,0.002018,0.002315,0.008101,0.008991,0.009229,0.000683,-0.000267,-0.002018,-0.00451,-0.008962,-0.024303,0.003709,0.002077,0.002493,0.002315,-0.015757,-0.035223,1,0,0,0
